file_name,field,doc_value,cond_value,is_defect,injected,amount
batch1-0494,total,232.95,349.42,True,True,232.95
batch1-0489,total,153.92,153.92,False,False,153.92
batch1-0499,total,498.21,249.1,True,True,498.21
batch1-0497,total,677.47,1016.2,True,True,677.47
batch1-0081,total,1.71,1.71,False,False,1.71
batch1-0105,total,70577.35,35288.68,True,True,70577.35
batch1-0019,total,188.11,188.11,False,False,188.11
batch1-0108,total,360.58,360.58,False,False,360.58
batch1-0087,total,6.58,9.87,True,True,6.58
batch1-0151,total,3838.87,1919.44,True,True,3838.87
batch1-0187,total,5283.18,2641.59,True,True,5283.18
batch1-0039,total,3004.96,4507.44,True,True,3004.96
batch1-0490,total,689.19,1033.79,True,True,689.19
batch1-0196,total,172.22,172.22,False,False,172.22
batch1-0132,total,714.95,714.95,False,False,714.95
batch1-0210,total,386.6,579.9,True,True,386.6
batch1-0020,total,327.08,327.08,False,False,327.08
batch1-0276,total,89.06,44.53,True,True,89.06
batch1-0300,total,343.87,171.94,True,True,343.87
batch1-0158,total,96.73,96.73,False,False,96.73
batch1-0136,total,5605.15,2802.58,True,True,5605.15
batch1-0274,total,913.65,456.82,True,True,913.65
batch1-0435,total,312.04,156.02,True,True,312.04
batch1-0384,total,7237.02,7237.02,False,False,7237.02
batch1-0401,total,740.69,740.69,False,False,740.69
batch1-0035,total,722.11,1083.16,True,True,722.11
batch1-0023,total,18281.24,9140.62,True,True,18281.24
batch1-0093,total,2235.2,1117.6,True,True,2235.2
batch1-0080,total,291.92,437.88,True,True,291.92
batch1-0059,total,1255.0,627.5,True,True,1255.0
batch1-0056,total,494.89,494.89,False,False,494.89
batch1-0170,total,771.01,385.5,True,True,771.01
batch1-0123,total,8621.78,4310.89,True,True,8621.78
batch1-0137,total,44.0,22.0,True,True,44.0
batch1-0320,total,186.96,280.44,True,True,186.96
batch1-0167,total,86.56,43.28,True,True,86.56
batch1-0376,total,2568.45,1284.22,True,True,2568.45
batch1-0361,total,997.37,498.68,True,True,997.37
batch1-0439,total,141.87,70.94,True,True,141.87
batch1-0391,total,1026.71,1026.71,False,False,1026.71
batch1-0362,total,3393.4,5090.1,True,True,3393.4
batch1-0098,total,1.99,1.0,True,True,1.99
batch1-0095,total,32.95,49.42,True,True,32.95
batch1-0026,total,9256.59,9256.59,False,False,9256.59
batch1-0082,total,371.51,557.26,True,True,371.51
batch1-0114,total,2.99,4.49,True,True,2.99
batch1-0067,total,21.56,10.78,True,True,21.56
batch1-0094,total,394.19,591.28,True,True,394.19
batch1-0115,total,55.0,27.5,True,True,55.0
batch1-0229,total,5101.77,7652.66,True,True,5101.77
batch1-0124,total,7737.7,7737.7,False,False,7737.7
batch1-0293,total,12.76,12.76,False,False,12.76
batch1-0298,total,162.33,243.5,True,True,162.33
batch1-0433,total,306.82,153.41,True,True,306.82
batch1-0263,total,247.84,247.84,False,False,247.84
batch1-0078,total,312.93,156.46,True,True,312.93
batch1-0066,total,1.99,2.98,True,True,1.99
batch1-0015,total,1469.45,734.72,True,True,1469.45
batch1-0428,total,10.98,5.49,True,True,10.98
batch1-0006,total,732.34,366.17,True,True,732.34
batch1-0363,total,21.45,32.17,True,True,21.45
batch1-0461,total,48.14,48.14,False,False,48.14
batch1-0011,total,91.27,136.9,True,True,91.27
batch1-0041,total,194521.7,97260.85,True,True,194521.7
batch1-0040,total,191.26,191.26,False,False,191.26
batch1-0031,total,29.67,29.67,False,False,29.67
batch1-0295,total,43.96,21.98,True,True,43.96
batch1-0260,total,1023.94,511.97,True,True,1023.94
batch1-0316,total,428.9,643.35,True,True,428.9
batch1-0206,total,731.23,365.62,True,True,731.23
batch1-0192,total,120.99,181.48,True,True,120.99
batch1-0340,total,269.49,134.74,True,True,269.49
batch1-0054,total,4007.31,6010.96,True,True,4007.31
batch1-0407,total,22.0,22.0,False,False,22.0
batch1-0455,total,4008.74,6013.11,True,True,4008.74
batch1-0169,total,25.52,38.28,True,True,25.52
batch1-0104,total,353.66,176.83,True,True,353.66
batch1-0065,total,152.87,76.44,True,True,152.87
batch1-0014,total,24.95,12.48,True,True,24.95
batch1-0388,total,2454.03,1227.02,True,True,2454.03
batch1-0457,total,2441.81,3662.72,True,True,2441.81
batch1-0060,total,32.83,32.83,False,False,32.83
batch1-0182,total,127.31,190.96,True,True,127.31
batch1-0072,total,324.5,162.25,True,True,324.5
batch1-0107,total,514.02,771.03,True,True,514.02
batch1-0224,total,6140.09,6140.09,False,False,6140.09
batch1-0231,total,18614.34,27921.51,True,True,18614.34
batch1-0058,total,470.92,706.38,True,True,470.92
batch1-0353,total,561.7,561.7,False,False,561.7
batch1-0352,total,18863.63,9431.82,True,True,18863.63
batch1-0256,total,47502.39,47502.39,False,False,47502.39
batch1-0383,total,304.92,152.46,True,True,304.92
batch1-0478,total,387.11,193.56,True,True,387.11
batch1-0205,total,3262.02,3262.02,False,False,3262.02
batch1-0313,total,323.14,161.57,True,True,323.14
batch1-0166,total,36.33,18.16,True,True,36.33
batch1-0235,total,418.84,418.84,False,False,418.84
batch1-0096,total,5664.9,8497.35,True,True,5664.9
batch1-0004,total,819.06,1228.59,True,True,819.06
batch1-0024,total,98.95,148.43,True,True,98.95
batch1-0073,total,53.96,80.94,True,True,53.96
batch1-0070,total,1250.75,1876.12,True,True,1250.75
batch1-0380,total,18749.5,18749.5,False,False,18749.5
batch1-0436,total,307.93,307.93,False,False,307.93
batch1-0404,total,4695.01,4695.01,False,False,4695.01
batch1-0168,total,2511.2,1255.6,True,True,2511.2
batch1-0227,total,46215.06,23107.53,True,True,46215.06
batch1-0254,total,181.34,90.67,True,True,181.34
batch1-0289,total,350.24,175.12,True,True,350.24
batch1-0119,total,701.72,350.86,True,True,701.72
batch1-0149,total,10865.23,10865.23,False,False,10865.23
batch1-0102,total,321.95,482.92,True,True,321.95
batch1-0429,total,261.41,130.71,True,True,261.41
batch1-0009,total,124.79,62.4,True,True,124.79
batch1-0042,total,15574.11,15574.11,False,False,15574.11
batch1-0443,total,6.38,3.19,True,True,6.38
batch1-0453,total,29087.53,29087.53,False,False,29087.53
batch1-0370,total,4140.06,4140.06,False,False,4140.06
batch1-0202,total,1182.5,1182.5,False,False,1182.5
batch1-0109,total,986.7,986.7,False,False,986.7
batch1-0085,total,2970.0,2970.0,False,False,2970.0
batch1-0092,total,32.83,49.24,True,True,32.83
batch1-0037,total,151.38,227.07,True,True,151.38
batch1-0355,total,266.11,399.16,True,True,266.11
batch1-0459,total,20085.99,20085.99,False,False,20085.99
batch1-0252,total,25.15,37.72,True,True,25.15
batch1-0063,total,154.0,231.0,True,True,154.0
batch1-0287,total,204.27,102.14,True,True,204.27
batch1-0239,total,7269.8,3634.9,True,True,7269.8
batch1-0175,total,5375.57,2687.78,True,True,5375.57
batch1-0390,total,502.74,502.74,False,False,502.74
batch1-0419,total,365.13,365.13,False,False,365.13
batch1-0308,total,23988.86,11994.43,True,True,23988.86
batch1-0480,total,9809.8,4904.9,True,True,9809.8
batch1-0185,total,237.6,356.4,True,True,237.6
batch1-0193,total,1349.08,1349.08,False,False,1349.08
batch1-0212,total,178.16,89.08,True,True,178.16
batch1-0496,total,246.28,369.42,True,True,246.28
batch1-0101,total,5439.26,5439.26,False,False,5439.26
batch1-0437,total,1037.38,1037.38,False,False,1037.38
batch1-0346,total,190.62,190.62,False,False,190.62
batch1-0272,total,129.6,129.6,False,False,129.6
batch1-0013,total,237.29,237.29,False,False,237.29
